family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,punctual_bill_sbg_id
7 - Mobile,Business Voix et SMS,9.0,1.0,9.0,,2021-12-07 15:33:16,2024-07-09 10:36:30,748445,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-27 14:27:19,2024-07-09 10:38:22,902185,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-27 14:27:19,2024-07-09 10:38:22,902185,
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2021-12-17 10:10:53,2024-07-09 10:48:41,902185,
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-12-17 10:10:53,2022-10-29 08:33:01,902185,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-08-31 18:05:52,2024-07-09 10:38:22,902185,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-09-27 14:27:19,2024-07-09 10:38:22,902185,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-08-31 18:05:52,2024-07-09 10:38:22,902185,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-10-04 14:47:25,2024-03-26 11:27:35,902184,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-10-04 14:47:25,2024-03-26 11:27:35,902184,
1 - Licenses and options,Licence SUNBREN,15.0,2.0,30.0,,2021-07-30 10:42:39,2023-05-01 18:22:09,902184,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2022-03-28 15:33:40,2024-03-26 11:27:35,902184,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-10-04 14:47:25,2024-03-26 11:27:35,902184,
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,4.0,14.0,,2022-07-27 12:06:51,2024-07-09 10:49:02,902184,
5 - Service Pack,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2022-07-27 12:06:09,2022-10-29 08:37:14,902184,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2022-03-28 15:33:40,2024-03-26 11:27:35,902184,
7 - Mobile,Business Smartphone 20 Go,21.0,1.0,21.0,,2022-09-22 15:10:30,2024-03-26 11:27:35,902184,
